price_total,listing_title,room_type,is_shared_room,is_private_room,max_guests,is_superhost,is_business_listing,cleanliness_score,guest_satisfaction_score,bedrooms,longitude,latitude,city,day_type,district,state,country_code,country_name
317.65,"Homey Studio with kitchen, Amsterdam Noord",Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.7,95,1,4.9068,52.3966,Amsterdam,weekday,Noord,North Holland,NL,Netherlands
156.9,PARK SUITE private place in beautiful location,Private room,FALSE,TRUE,2,TRUE,FALSE,4.6,94,1,4.94026,52.34991,Amsterdam,weekday,Oost,North Holland,NL,Netherlands
169.63,Studio 25m2 | Near Amsterdam & Schiphol,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.6,91.4,1,4.79685,52.33456,Amsterdam,weekday,Badhoevedorp,North Holland,NL,Netherlands
500.65,The Bright Loft - City Centre Amsterdam,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,5,66.6,1,4.8918,52.37633,Amsterdam,weekday,Centrum,North Holland,NL,Netherlands
429.82,Luxery apartment,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.7,90,1,4.924177107,52.36242239,Amsterdam,weekday,Oost,North Holland,NL,Netherlands
640.09,Exceptional Apartment 4bdr in Amsterdam,Entire home/apt,FALSE,FALSE,8,FALSE,FALSE,5,95,4,4.8705,52.3542,Amsterdam,weekday,Zuid,North Holland,NL,Netherlands
483.25,Perfect for the traveling professional,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.8,99.2,1,4.69058,52.30543,Amsterdam,weekday,Hoofddorp,North Holland,NL,Netherlands
346.79,Modern & Cozy Amsterdam Apartment with Garden View,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,5,100,1,4.93838,52.3329,Amsterdam,weekday,Noord,North Holland,NL,Netherlands
227.77,Tasteful apartment between Amsterdam and Haarlem,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.8,96.2,1,4.75504,52.38606,Amsterdam,weekday,north,North Holland,NL,Netherlands
227.77,"2roomSuite B&B Centre Haarlem, A'dam, Beach",Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,5,95,2,4.6281,52.3775,Amsterdam,weekday,Haarlem,North Holland,NL,Netherlands
253.32,Apartment de Mollengang,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.9,98,1,4.9412,52.4264,Amsterdam,weekday,Landsmeer,North Holland,NL,Netherlands
529.49,"Cool Modern Studio for 4, Amsterdam Noord",Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,4.8,95.4,2,4.9072,52.3965,Amsterdam,weekday,Noord,North Holland,NL,Netherlands
265.88,New Amsterdam Apartment,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.7,93,1,4.8946,52.3557,Amsterdam,weekday,Zuid,North Holland,NL,Netherlands
845.92,loft Vondelpark central Amsterdam,Entire home/apt,FALSE,FALSE,3,FALSE,FALSE,4.8,100,2,4.85853,52.35876,Amsterdam,weekday,West,North Holland,NL,Netherlands
407.98,Studio Executive Apartment - ID Aparthotel,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.7,94.2,1,4.83349,52.38818,Amsterdam,weekday,Nieuw-West,North Holland,NL,Netherlands
285.59,Canal House: Long term room rental in 200m² house,Entire home/apt,FALSE,FALSE,1,FALSE,FALSE,4.5,94.2,1,4.89704,52.3711,Amsterdam,weekday,Centrum,North Holland,NL,Netherlands
108.47,Paulie Homestay near Amsterdam - Solo Room 4,Entire home/apt,FALSE,FALSE,1,TRUE,FALSE,4.2,91.2,1,4.65242,52.48919,Amsterdam,weekday,Sint Aagtendorp,North Holland,NL,Netherlands
347.37,Family home close to Amsterdam and beaches,Entire home/apt,FALSE,FALSE,5,FALSE,FALSE,4.9,99.3,3,5.05995,52.33321,Amsterdam,weekday,De Krijgsman,North Holland,NL,Netherlands
256.85,Boardwalk Suite,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.6,95,1,4.7781,52.38098,Amsterdam,weekday,Nieuw-West,North Holland,NL,Netherlands
561.99,Sunny top-floor stay | roof terrace + balcony,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,5,100,1,4.8874,52.3892,Amsterdam,weekday,West,North Holland,NL,Netherlands
588.79,Helmersbuurt - Wilhelminastraat,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.8,100,1,4.867,52.3624,Amsterdam,weekday,West,North Holland,NL,Netherlands
589.48,Stylish & Modern Apartment in Amsterdam North,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,5,100,1,4.91758,52.38486,Amsterdam,weekday,Noord,North Holland,NL,Netherlands
598.01,Historical Vondelpark Apartment,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,5,98,1,4.8609,52.359,Amsterdam,weekday,West,North Holland,NL,Netherlands
526.8,Big and bright/very central/stunning view / 2 prs,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.9,98.8,1,4.90652,52.37296,Amsterdam,weekday,Centrum,North Holland,NL,Netherlands
71.2,URBAN apt. with balcony in hip cental neighborhood,Entire home/apt,FALSE,FALSE,3,FALSE,FALSE,4.7,95.4,1,23.74016,37.99913,Athens,weekday,Kypseli,Attica,GR,Greece
62.59,Athens SkyNest,Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,5,100,1,23.73017,38.01053,Athens,weekday,Kypséli,Attica,GR,Greece
87.4,Dimitri’s Athens View,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.9,97.8,1,23.7479,37.9595,Athens,weekday,Vyronas,Attica,GR,Greece
99.11,Athenian Dream Apartment by VIPGreece,Entire home/apt,FALSE,FALSE,4,FALSE,FALSE,4.8,91.2,2,23.7261,37.9971,Athens,weekday,Kypséli,Attica,GR,Greece
88.48,Miss H Haven,Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,4.7,94.6,2,23.7494,37.9674,Athens,weekday,Pangrati,Attica,GR,Greece
65.42,New Hilton Tiny Apartment with Private Entrance,Private room,FALSE,TRUE,2,FALSE,FALSE,5,93,1,23.75378,37.9756,Athens,weekday,1st District of Athens,Attica,GR,Greece
68.32,Live like locals in Athens Famous Neighbourhood,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,5,100,1,23.7372,38.0082,Athens,weekday,Kypséli,Attica,GR,Greece
55.75,The Fig Tree Flat,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.6,92,1,23.7312,38.0008,Athens,weekday,Kypséli,Attica,GR,Greece
66.36,“EPOS” Inspired by the Urban Streets of NYC&Athens,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,5,99,2,23.75354,37.97274,Athens,weekday,Kaisariani,Attica,GR,Greece
59.26,Stylish flat by the Archeological Museum,Entire home/apt,FALSE,FALSE,3,TRUE,FALSE,4.7,100,1,23.7323,37.9912,Athens,weekday,1st District of Athens,Attica,GR,Greece
55.42,Athenian Home - Greek authenticity,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,5,100,1,23.71108,37.99761,Athens,weekday,4th District of Athens,Attica,GR,Greece
72.08,Aristo129 · Balcony · metro 6 min · sleeps 4,Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,4,96,1,23.7244,38.0017,Athens,weekday,Kypséli,Attica,GR,Greece
40.99,No. 14-2 Theo Homeybee Omonia Victoria,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.7,94.4,2,23.7283,37.9896,Athens,weekday,1st District of Athens,Attica,GR,Greece
88.14,WYZ Museum Comfort Studio,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.7,94,1,23.7286,37.9875,Athens,weekday,1st District of Athens,Attica,GR,Greece
80.1,Athens Central Mondern Stay 4' to Metro Station,Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,5,98.2,1,23.7215,37.9961,Athens,weekday,Kypséli,Attica,GR,Greece
74.66,Super central cosy studio,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.8,95.8,1,23.73096,37.97909,Athens,weekday,1st District of Athens,Attica,GR,Greece
44.75,PORTRAIT - Room in flatshare #1,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,5,100,2,23.73039,37.9936,Athens,weekday,Kypséli,Attica,GR,Greece
30.72,Rooms in a quiet neighborhood,Entire home/apt,FALSE,FALSE,1,FALSE,FALSE,4.7,60,1,23.7335,38.0234,Athens,weekday,Kypséli,Attica,GR,Greece
123.66,Joe's Studio | Balcony | Close to Monastiraki,Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,5,95.8,1,23.7125,37.9758,Athens,weekday,Kypséli,Attica,GR,Greece
134.06,Gem Studio | Near Metro | Starlink |Rooftop Views,Entire home/apt,FALSE,FALSE,3,TRUE,FALSE,5,98.6,1,23.71455,37.9811,Athens,weekday,Kypséli,Attica,GR,Greece
113.02,Athens centre Luxury Studio close to metro,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.3,95,1,23.7623,37.9822,Athens,weekday,Ampelókipoi,Attica,GR,Greece
111.06,Solar Cube,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.3,97.2,1,23.7345,37.965,Athens,weekday,2nd District of Athens,Attica,GR,Greece
111.26,Penthouse & Big Terrace | 5’ to Metro | FiberWiFi,Entire home/apt,FALSE,FALSE,4,FALSE,FALSE,4.8,100,1,23.7188,38.0036,Athens,weekday,Sepolia District,Attica,GR,Greece
118.88,Retro Chic Apartment- Near Metro by ΜΡS,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.8,100,1,23.7571,37.9897,Athens,weekday,Ampelókipoi,Attica,GR,Greece
105.36,Keramikos Comfortable Apartment #3,Entire home/apt,FALSE,FALSE,4,FALSE,FALSE,4.8,89.6,1,23.71033,37.98253,Athens,weekday,Votanikos District,Attica,GR,Greece
136.16,Spacious Studio | Metro | Starlink | Huge Rooftop,Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,4.6,96.6,1,23.71622,37.98117,Athens,weekday,Petrálona,Attica,GR,Greece
398.62,The halcyon house,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.3,100,1,23.7312,38.0008,Athens,weekday,Kypséli,Attica,GR,Greece
139.13,Live Cozy,Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.5,100,1,23.7446,37.9902,Athens,weekday,Ampelókipoi,Attica,GR,Greece
104.07,Stylish Top Floor 2BR•Balcony•Metro•City Views,Entire home/apt,FALSE,FALSE,4,TRUE,FALSE,4.8,96.8,2,23.7272,37.9976,Athens,weekday,Kypséli,Attica,GR,Greece
96.76,"Downtown, romantic loft",Entire home/apt,FALSE,FALSE,2,TRUE,FALSE,4.8,97,1,23.7667,37.9791,Athens,weekday,Zografou,Attica,GR,Greece
543.49,Cozy place for working in Barcelona / Les Corts,Entire home/apt,FALSE,FALSE,1,TRUE,FALSE,4.8,85.8,1,2.13893,41.38393,Barcelona,weekday,les Corts,Catalonia,ES,Spain
462.18,Single room near Sagrada Família,Entire home/apt,FALSE,FALSE,1,FALSE,FALSE,4.7,93.6,1,2.17856,41.4109,Barcelona,weekday,La Sagrada Família,Catalonia,ES,Spain
962.49,Cosy 1 bedroom apartment in central Barcelona,Entire home/apt,FALSE,FALSE,3,TRUE,FALSE,4.8,95.6,1,2.1711,41.3793,Barcelona,weekday,Old Town,Catalonia,ES,Spain
525.85,Stunning room with private Balcony,Private room,FALSE,TRUE,1,TRUE,FALSE,4.9,20,1,2.16222,41.38374,Barcelona,weekday,l'Eixample,Catalonia,ES,Spain
618.32,Entenca 208 Room 3 Co-living City Centre,Entire home/apt,FALSE,FALSE,1,FALSE,FALSE,4.8,100,1,2.14435,41.38645,Barcelona,weekday,l'Eixample,Catalonia,ES,Spain
495.27,Room with private fridge for long term,Private room,FALSE,TRUE,1,FALSE,FALSE,5,95,2,2.17524,41.3958,Barcelona,weekday,l'Eixample,Catalonia,ES,Spain
447.62,Relax & Enjoy,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.7,96,9,2.1696,41.382,Barcelona,weekday,Old Town,Catalonia,ES,Spain
1519.38,Lepanto Sagrada Família,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.8,95,1,2.174,41.405,Barcelona,weekday,l'Eixample,Catalonia,ES,Spain
1824.15,Restored modernist apartment with balcony,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.9,95,1,2.16957,41.39282,Barcelona,weekday,l'Eixample,Catalonia,ES,Spain
156.59,Cozy Flat near Arc de Triomf with Balcony,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4,97.2,1,2.18209,41.38939,Barcelona,weekday,Old Town,Catalonia,ES,Spain
488.7,comfortable room,Entire home/apt,FALSE,FALSE,1,FALSE,FALSE,4.7,95,1,2.1204,41.37374,Barcelona,weekday,Collblanc,Catalonia,ES,Spain
1272.14,*Amazing BRAND NEW studio Boqueria market AA/WiFi*,Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.6,100,1,2.168,41.38029,Barcelona,weekday,Old Town,Catalonia,ES,Spain
565.24,"Cozy, Romantic Apartment in Trendy Old World Gràci",Entire home/apt,FALSE,FALSE,2,FALSE,FALSE,4.8,93.6,1,2.15126,41.40222,Barcelona,weekday,Gràcia,Catalonia,ES,Spain
