record_id,price_total,listing_title,room_type,is_shared_room,is_private_room,max_guests,is_superhost,is_business_listing,cleanliness_score,guest_satisfaction_score,bedrooms,longitude,latitude,city,day_type,district,state,country_code,country_name,missing_bedrooms,missing_max_guests,missing_cleanliness_score,missing_guest_satisfaction_score,price_per_bedroom,price_per_guest,price_per_person,is_weekend,listing_title_length,price_category,listing_quality_score,host_score,silver_processed_time,source_system,data_layer
1,317.65,"Homey Studio with kitchen, Amsterdam Noord",Entire home/apt,False,False,2,True,False,4.7,95.0,1,4.9068,52.3966,Amsterdam,weekday,Noord,North Holland,NL,Netherlands,False,False,False,False,317.65,158.825,158.825,False,42,Luxury,9.45,1,2026-07-12 03:21:54.283648,Airbnb,Silver
2,156.9,PARK SUITE private place in beautiful location,Private room,False,True,2,True,False,4.6,94.0,1,4.94026,52.34991,Amsterdam,weekday,Oost,North Holland,NL,Netherlands,False,False,False,False,156.9,78.45,78.45,False,46,Mid-range,9.3,1,2026-07-12 03:21:54.283648,Airbnb,Silver
3,169.63,Studio 25m2 | Near Amsterdam & Schiphol,Entire home/apt,False,False,2,False,False,4.6,91.4,1,4.79685,52.33456,Amsterdam,weekday,Badhoevedorp,North Holland,NL,Netherlands,False,False,False,False,169.63,84.815,84.815,False,39,Mid-range,9.17,0,2026-07-12 03:21:54.283648,Airbnb,Silver
4,500.65,The Bright Loft - City Centre Amsterdam,Entire home/apt,False,False,2,True,False,5.0,66.6,1,4.8918,52.37633,Amsterdam,weekday,Centrum,North Holland,NL,Netherlands,False,False,False,False,500.65,250.325,250.325,False,39,Luxury,8.33,1,2026-07-12 03:21:54.283648,Airbnb,Silver
5,429.82,Luxery apartment,Entire home/apt,False,False,2,False,False,4.7,90.0,1,4.924177107,52.36242239,Amsterdam,weekday,Oost,North Holland,NL,Netherlands,False,False,False,False,429.82,214.91,214.91,False,16,Luxury,9.2,0,2026-07-12 03:21:54.283648,Airbnb,Silver
6,640.09,Exceptional Apartment 4bdr in Amsterdam,Entire home/apt,False,False,8,False,False,5.0,95.0,4,4.8705,52.3542,Amsterdam,weekday,Zuid,North Holland,NL,Netherlands,False,False,False,False,160.0225,80.01125,80.01125,False,39,Luxury,9.75,0,2026-07-12 03:21:54.283648,Airbnb,Silver
7,483.25,Perfect for the traveling professional,Entire home/apt,False,False,2,True,False,4.8,99.2,1,4.69058,52.30543,Amsterdam,weekday,Hoofddorp,North Holland,NL,Netherlands,False,False,False,False,483.25,241.625,241.625,False,38,Luxury,9.76,1,2026-07-12 03:21:54.283648,Airbnb,Silver
8,346.79,Modern & Cozy Amsterdam Apartment with Garden View,Entire home/apt,False,False,2,True,False,5.0,100.0,1,4.93838,52.3329,Amsterdam,weekday,Noord,North Holland,NL,Netherlands,False,False,False,False,346.79,173.395,173.395,False,50,Luxury,10.0,1,2026-07-12 03:21:54.283648,Airbnb,Silver
9,227.77,Tasteful apartment between Amsterdam and Haarlem,Entire home/apt,False,False,2,False,False,4.8,96.2,1,4.75504,52.38606,Amsterdam,weekday,north,North Holland,NL,Netherlands,False,False,False,False,227.77,113.885,113.885,False,48,Mid-range,9.61,0,2026-07-12 03:21:54.283648,Airbnb,Silver
10,227.77,"2roomSuite B&B Centre Haarlem, A'dam, Beach",Entire home/apt,False,False,2,True,False,5.0,95.0,2,4.6281,52.3775,Amsterdam,weekday,Haarlem,North Holland,NL,Netherlands,False,False,False,False,113.885,113.885,113.885,False,43,Mid-range,9.75,1,2026-07-12 03:21:54.283648,Airbnb,Silver
11,253.32,Apartment de Mollengang,Entire home/apt,False,False,2,True,False,4.9,98.0,1,4.9412,52.4264,Amsterdam,weekday,Landsmeer,North Holland,NL,Netherlands,False,False,False,False,253.32,126.66,126.66,False,23,Mid-range,9.8,1,2026-07-12 03:21:54.283648,Airbnb,Silver
12,529.49,"Cool Modern Studio for 4, Amsterdam Noord",Entire home/apt,False,False,4,True,False,4.8,95.4,2,4.9072,52.3965,Amsterdam,weekday,Noord,North Holland,NL,Netherlands,False,False,False,False,264.745,132.3725,132.3725,False,41,Luxury,9.57,1,2026-07-12 03:21:54.283648,Airbnb,Silver
13,265.88,New Amsterdam Apartment,Entire home/apt,False,False,2,False,False,4.7,93.0,1,4.8946,52.3557,Amsterdam,weekday,Zuid,North Holland,NL,Netherlands,False,False,False,False,265.88,132.94,132.94,False,23,Mid-range,9.350000000000001,0,2026-07-12 03:21:54.283648,Airbnb,Silver
14,845.92,loft Vondelpark central Amsterdam,Entire home/apt,False,False,3,False,False,4.8,100.0,2,4.85853,52.35876,Amsterdam,weekday,West,North Holland,NL,Netherlands,False,False,False,False,422.96,281.9733333333333,281.9733333333333,False,33,Luxury,9.8,0,2026-07-12 03:21:54.283648,Airbnb,Silver
15,407.98,Studio Executive Apartment - ID Aparthotel,Entire home/apt,False,False,2,True,False,4.7,94.2,1,4.83349,52.38818,Amsterdam,weekday,Nieuw-West,North Holland,NL,Netherlands,False,False,False,False,407.98,203.99,203.99,False,42,Luxury,9.41,1,2026-07-12 03:21:54.283648,Airbnb,Silver
16,285.59,Canal House: Long term room rental in 200m² house,Entire home/apt,False,False,1,False,False,4.5,94.2,1,4.89704,52.3711,Amsterdam,weekday,Centrum,North Holland,NL,Netherlands,False,False,False,False,285.59,285.59,285.59,False,49,Mid-range,9.21,0,2026-07-12 03:21:54.283648,Airbnb,Silver
17,108.47,Paulie Homestay near Amsterdam - Solo Room 4,Entire home/apt,False,False,1,True,False,4.2,91.2,1,4.65242,52.48919,Amsterdam,weekday,Sint Aagtendorp,North Holland,NL,Netherlands,False,False,False,False,108.47,108.47,108.47,False,44,Mid-range,8.760000000000002,1,2026-07-12 03:21:54.283648,Airbnb,Silver
18,347.37,Family home close to Amsterdam and beaches,Entire home/apt,False,False,5,False,False,4.9,99.3,3,5.05995,52.33321,Amsterdam,weekday,De Krijgsman,North Holland,NL,Netherlands,False,False,False,False,115.79,69.474,69.474,False,42,Luxury,9.865,0,2026-07-12 03:21:54.283648,Airbnb,Silver
19,256.85,Boardwalk Suite,Entire home/apt,False,False,2,True,False,4.6,95.0,1,4.7781,52.38098,Amsterdam,weekday,Nieuw-West,North Holland,NL,Netherlands,False,False,False,False,256.85,128.425,128.425,False,15,Mid-range,9.35,1,2026-07-12 03:21:54.283648,Airbnb,Silver
